run	variant	input	eval1_sources_4plus	eval2_score_overlap	eval3_bilingual_matrix	eval4_ipc_cpc	eval5_blocking_flag	total	pass_rate	timestamp
1	baseline	AI-based fraud detection system	1	1	1	1	0	4	0.80	2026-04-13T10:00:00
2	baseline	drone delivery autonomous navigation KR+US	1	0	1	1	1	4	0.80	2026-04-13T10:00:00
3	baseline	LLM prompt caching method	1	1	1	0	0	3	0.60	2026-04-13T10:00:00
4	baseline	CRISPR gene editing for crop resistance	0	1	0	1	1	3	0.60	2026-04-13T10:00:00
5	baseline	federated learning privacy-preserving	1	0	1	1	1	4	0.80	2026-04-13T10:00:00
1	v1-mutations	AI-based fraud detection system	1	1	1	1	1	5	1.00	2026-04-13T10:15:00
2	v1-mutations	drone delivery autonomous navigation KR+US	1	1	1	1	1	5	1.00	2026-04-13T10:15:00
3	v1-mutations	LLM prompt caching method	1	1	1	1	1	5	1.00	2026-04-13T10:15:00
4	v1-mutations	CRISPR gene editing for crop resistance	1	1	0	1	1	4	0.80	2026-04-13T10:15:00
5	v1-mutations	federated learning privacy-preserving	1	1	1	1	1	5	1.00	2026-04-13T10:15:00
